name,value
area,-0.5760724861531833
vol,-0.34309283894303855
c.area,-0.5780267549015095
c.perim,-1.1086165794038292
eq.diam,-1.2107204057016128
h180,-1.2442686261886313
h90,-0.5462168322592559
hflip,-1.5156956169944078
maj.ax,-0.9385500775544088
min.ax,-0.5677103064830652
perim,-0.9984253245362302
solid,9.154746527189838
mean.dist,-3.6147101945853852
med.dist,-3.007435620436284
s.area,-0.5578965952634626
s.vol,-0.34297638693304333
s.c.area,-0.5602747832859724
s.c.perim,-1.0696907739004649
s.maj.ax,-0.9086859296873663
s.min.ax,-0.658353975491566
s.perim,-0.9648980389377116
tx.contrast,1.4101101480633387
tx.gray,1.0708032585632157
tx.unif,-68.1382460110794
r.bbox.x,-0.9991315258841577
r.bbox.y,-0.8946026601164733
area.perim,-0.5301499858873863
h90.hflip,-0.6071949757436174
h90.h180,-0.7675793050096541
s.c.perim.perim,16.333487292454798
maj.min,-1.088626659829223
perim.maj,-0.6823292053067017
