nb_im,sp,pc,eig,var,first,second,third,last
10,1,1,22.63319425752451,52.63533548261516,s.c.perim,c.perim,maj.ax,nb.blobs
10,1,2,8.851321277392934,20.584468086960317,circ,area.perim2,skew.dist,nb.blobs
10,1,3,3.9417505172561915,9.166861668037658,s.c.perim.perim,perim.maj,solid,nb.blobs
10,1,4,1.5030230866510341,3.4954025270954294,med.dist,h180,tx.3rd.mom,nb.blobs
10,1,5,1.1877052520605131,2.762105237350031,tx.gray,tx.3rd.mom,h180,nb.blobs
10,1,6,1.000000000000194,2.3255813953492894,nb.blobs,tx.3rd.mom,hflip,h90
10,10,1,21.60886244159995,50.253168468837096,c.perim,s.c.perim,perim,perim.maj
10,10,2,8.18236868698967,19.028764388348073,skew.dist,maj.min,mean.dist,c.perim
10,10,3,5.125109643247136,11.918859635458455,solid,extent,perim.maj,mode.dist
10,10,4,2.2652406342296114,5.268001474952585,tx.contrast,nb.blobs,tx.smooth,c.area
10,10,5,1.7986107373379736,4.182815668227845,med.dist,mode.dist,h180,nb.blobs
10,10,6,0.9037529366608565,2.1017510154903642,nb.blobs,tx.entropy,hflip,c.perim
10,2,1,21.322903925969204,49.588148665044706,s.c.perim,c.perim,maj.ax,nb.blobs
10,2,2,8.120535321498744,18.884965863950587,extent,circ,area.perim2,nb.blobs
10,2,3,6.217617897195671,14.459576505106225,perim.maj,h90.hflip,h90.h180,nb.blobs
10,2,4,1.5263979080402628,3.549762576837824,tx.3rd.mom,tx.gray,med.dist,nb.blobs
10,2,5,1.1603172874206171,2.698412296327019,mode.dist,tx.contrast,tx.smooth,nb.blobs
10,2,6,1.000000000000003,2.3255813953488467,nb.blobs,tx.gray,tx.3rd.mom,h90
10,3,1,20.631847715584026,47.98104119903259,c.perim,s.c.perim,perim,nb.blobs
10,3,2,9.643279359220598,22.426231067954863,skew.dist,mean.dist,kurt.dist,nb.blobs
10,3,3,5.221534191914896,12.143102771895098,perim.maj,s.c.perim.perim,solid,nb.blobs
10,3,4,1.6590660326527993,3.8582930991925535,tx.3rd.mom,tx.gray,med.dist,nb.blobs
10,3,5,1.0231047866433725,2.3793134573101673,h90.h180,hflip,h180,nb.blobs
10,3,6,1.0000000000002047,2.3255813953493116,nb.blobs,med.dist,tx.contrast,s.min.ax
10,4,1,21.088294311561,49.04254491060703,s.c.perim,c.perim,perim,nb.blobs
10,4,2,9.93737453174728,23.11017332964486,maj.min,skew.dist,kurt.dist,nb.blobs
10,4,3,4.1598257108261825,9.674013280991131,solid,perim.maj,tx.gray,nb.blobs
10,4,4,1.7851556464919731,4.151524759283663,med.dist,hflip,h90.hflip,nb.blobs
10,4,5,1.4587571381256235,3.3924584607572674,mode.dist,med.dist,h180,nb.blobs
10,4,6,1.0308563518097404,2.3973403530459105,tx.contrast,tx.smooth,tx.entropy,nb.blobs
10,5,1,20.535075221695607,47.755988887664245,s.c.perim,c.perim,perim,nb.blobs
10,5,2,8.97955590577555,20.882688152966413,skew.dist,kurt.dist,maj.min,nb.blobs
10,5,3,5.0465946662825765,11.736266665773442,solid,h90.hflip,perim.maj,nb.blobs
10,5,4,1.5273029152642663,3.5518672448006225,tx.gray,tx.3rd.mom,h180,nb.blobs
10,5,5,1.4599516328768734,3.395236355527615,tx.entropy,tx.contrast,tx.smooth,nb.blobs
10,5,6,1.1146202107716576,2.592140025050369,mode.dist,hflip,h90.hflip,nb.blobs
10,6,1,21.173157502515078,49.239901168639754,c.perim,perim,maj.ax,nb.blobs
10,6,2,7.271707706681974,16.910948155074372,ecc,perim.maj,maj.min,tx.unif
10,6,3,6.129205814433346,14.25396701031012,extent,area.perim2,circ,med.dist
10,6,4,2.5905405245311766,6.024512847746927,med.dist,nb.blobs,mode.dist,eq.diam
10,6,5,1.8645636127472422,4.336194448249405,tx.gray,tx.3rd.mom,tx.smooth,solid
10,6,6,1.0844141990168263,2.5218934860856446,tx.contrast,tx.3rd.mom,tx.smooth,c.perim
10,7,1,22.99273158399063,53.471468799978204,c.perim,s.c.perim,maj.ax,nb.blobs
10,7,2,8.895058624407449,20.686182847459182,skew.dist,kurt.dist,maj.min,nb.blobs
10,7,3,4.462650253582829,10.378256403680998,s.c.perim.perim,solid,area.perim2,nb.blobs
10,7,4,1.6332094432945086,3.798161496033741,hflip,h180,h90.h180,nb.blobs
10,7,5,1.0000000000000009,2.325581395348839,nb.blobs,tx.contrast,tx.3rd.mom,eq.diam
10,7,6,0.9337118228307969,2.171422843792551,mode.dist,h180,med.dist,nb.blobs
10,8,1,22.053602859633443,51.28744851077545,s.c.perim,c.perim,maj.ax,nb.blobs
10,8,2,8.817001660310567,20.504655023978057,skew.dist,mean.dist,extent,nb.blobs
10,8,3,4.988932661784947,11.602168980895224,perim.maj,med.dist,h90.hflip,nb.blobs
10,8,4,1.312850432180994,3.0531405399557996,tx.gray,tx.3rd.mom,tx.smooth,nb.blobs
10,8,5,1.2457337328172755,2.8970551925983146,mode.dist,tx.contrast,tx.smooth,nb.blobs
10,8,6,1,2.325581395348837,nb.blobs,med.dist,tx.3rd.mom,extent
10,9,1,22.99118438268348,53.4678706574035,s.c.perim,c.perim,perim,nb.blobs
10,9,2,8.505657295870154,19.780598362488753,skew.dist,kurt.dist,mean.dist,nb.blobs
10,9,3,4.252549842192349,9.889650795796172,s.c.perim.perim,solid,perim.maj,nb.blobs
10,9,4,1.5093113312124897,3.510026351656957,tx.3rd.mom,tx.gray,h180,nb.blobs
10,9,5,1.4062192920648768,3.2702774234066943,med.dist,mode.dist,h90.hflip,nb.blobs
10,9,6,1.0000000000000004,2.325581395348841,nb.blobs,mean.dist,tx.3rd.mom,r.bbox.x
100,1,1,21.219941165883018,49.34870038577447,c.perim,s.c.perim,maj.ax,solid
100,1,2,8.231376396594474,19.142735806033663,skew.dist,kurt.dist,area.perim2,c.perim
100,1,3,5.312631581875082,12.354957167151355,perim.maj,s.c.perim.perim,solid,s.area
100,1,4,1.8468587714229314,4.295020398657981,nb.blobs,med.dist,mean.dist,tx.unif
100,1,5,1.1494515219410844,2.673143074281592,tx.3rd.mom,tx.gray,mode.dist,tx.contrast
100,1,6,1.0195800053168704,2.371116291434583,h90.h180,h180,tx.contrast,min.ax
